author,n_words_total,vocab_size,ttr,sttr_1000,hapax_ratio,avg_sentence_len,std_sentence_len,median_sentence_len
Austen,365744,11457,0.0313,0.4035,0.3928,22.89,21.39,16.0
Chesterton,213530,13824,0.0647,0.4296,0.4363,17.91,12.4,16.0
